;T(entropy,1,0.01,0.4);RF(1,all,all);RF(1,all,half);RF(1,all,sqrt);RF(1,sqrt,all);RF(1,sqrt,half);RF(1,sqrt,sqrt);RF(50,all,all);RF(50,all,half);RF(50,all,sqrt);RF(50,sqrt,all);RF(50,sqrt,half);RF(50,sqrt,sqrt);RF(100,all,all);RF(100,all,half);RF(100,all,sqrt);RF(100,sqrt,all);RF(100,sqrt,half);RF(100,sqrt,sqrt)
1,1,1,20,(30, 75, 50);(30.15, 51.72, 78.57, 71.43, 64.91);(12.42, 51.72, 60.71, 57.69, 56.14, 40.96);(26.25, 65.52, 60.71, 63.33, 63.16, 36.05);(26.43, 58.62, 67.86, 65.38, 63.16, 40.51);(8.74, 55.17, 53.57, 55.17, 54.39, 49.3);(36.9, 65.52, 71.43, 70.37, 68.42, 48.24);(22.97, 55.17, 67.86, 64.0, 61.4, 49.35);(36.98, 62.07, 75.0, 72.0, 68.42, 30.22);(33.44, 62.07, 71.43, 69.23, 66.67, 31.56);(40.52, 62.07, 78.57, 75.0, 70.18, 33.33);(33.27, 68.97, 64.29, 66.67, 66.67, 32.44);(36.98, 62.07, 75.0, 72.0, 68.42, 33.33);(40.44, 65.52, 75.0, 73.08, 70.18, 33.78);(29.8, 65.52, 64.29, 65.52, 64.91, 31.11);(40.52, 62.07, 78.57, 75.0, 70.18, 32.0);(36.98, 62.07, 75.0, 72.0, 68.42, 31.11);(43.98, 65.52, 78.57, 76.0, 71.93, 32.44);(47.51, 65.52, 82.14, 79.17, 73.68, 31.11);(43.91, 68.97, 75.0, 74.07, 71.93, 34.22)
1,1,1,20,(30, 45, 30);(22.78, 62.07, 60.71, 62.07, 61.4);(26.34, 62.07, 64.29, 64.29, 63.16, 31.03);(19.52, 51.72, 67.86, 62.5, 59.65, 31.33);(-8.47, 37.93, 53.57, 45.83, 45.61, 39.29);(15.56, 65.52, 50.0, 57.58, 57.89, 32.18);(5.29, 51.72, 53.57, 53.57, 52.63, 35.8);(26.16, 68.97, 57.14, 62.5, 63.16, 31.71);(15.76, 58.62, 57.14, 58.62, 57.89, 22.22);(33.44, 62.07, 71.43, 69.23, 66.67, 26.67);(33.35, 65.52, 67.86, 67.86, 66.67, 27.11);(40.37, 68.97, 71.43, 71.43, 70.18, 26.22);(40.52, 62.07, 78.57, 75.0, 70.18, 26.22);(47.32, 75.86, 71.43, 73.33, 73.68, 30.67);(29.98, 58.62, 71.43, 68.0, 64.91, 27.11);(36.9, 65.52, 71.43, 70.37, 68.42, 27.56);(22.88, 58.62, 64.29, 62.96, 61.4, 24.89);(26.34, 62.07, 64.29, 64.29, 63.16, 26.67);(33.44, 62.07, 71.43, 69.23, 66.67, 27.11);(36.9, 65.52, 71.43, 70.37, 68.42, 25.33)
1,1,1,20,(30, 25, 15);(22.78, 62.07, 60.71, 62.07, 61.4);(29.89, 62.07, 67.86, 66.67, 64.91, 37.97);(5.41, 48.28, 57.14, 53.85, 52.63, 42.35);(26.16, 68.97, 57.14, 62.5, 63.16, 39.77);(29.89, 62.07, 67.86, 66.67, 64.91, 37.93);(36.74, 72.41, 64.29, 67.74, 68.42, 32.94);(36.74, 72.41, 64.29, 67.74, 68.42, 40.0);(22.59, 68.97, 53.57, 60.61, 61.4, 27.11);(26.34, 62.07, 64.29, 64.29, 63.16, 28.89);(29.8, 65.52, 64.29, 65.52, 64.91, 28.0);(29.54, 75.86, 53.57, 62.86, 64.91, 26.22);(29.8, 65.52, 64.29, 65.52, 64.91, 26.22);(15.56, 65.52, 50.0, 57.58, 57.89, 26.67);(36.82, 68.97, 67.86, 68.97, 68.42, 25.33);(33.35, 65.52, 67.86, 67.86, 66.67, 27.56);(33.35, 65.52, 67.86, 67.86, 66.67, 23.56);(22.78, 62.07, 60.71, 62.07, 61.4, 26.67);(22.69, 65.52, 57.14, 61.29, 61.4, 28.44);(26.34, 62.07, 64.29, 64.29, 63.16, 23.11)
1,1,1,40,(30, 75, 50);(8.63, 58.62, 50.0, 54.84, 54.39);(-1.85, 51.72, 46.43, 50.0, 49.12, 32.47);(18.92, 72.41, 46.43, 58.33, 59.65, 37.97);(26.61, 51.72, 75.0, 68.18, 63.16, 44.74);(12.31, 55.17, 57.14, 57.14, 56.14, 37.78);(1.97, 44.83, 57.14, 52.0, 50.88, 37.21);(19.42, 55.17, 64.29, 61.54, 59.65, 36.96);(12.42, 51.72, 60.71, 57.69, 56.14, 23.56);(26.43, 58.62, 67.86, 65.38, 63.16, 27.56);(22.78, 62.07, 60.71, 62.07, 61.4, 27.56);(29.72, 68.97, 60.71, 64.52, 64.91, 26.67);(22.69, 65.52, 57.14, 61.29, 61.4, 24.89);(26.16, 68.97, 57.14, 62.5, 63.16, 31.11);(26.43, 58.62, 67.86, 65.38, 63.16, 24.44);(19.32, 58.62, 60.71, 60.71, 59.65, 24.0);(26.43, 58.62, 67.86, 65.38, 63.16, 24.0);(33.19, 72.41, 60.71, 65.62, 66.67, 25.33);(22.88, 58.62, 64.29, 62.96, 61.4, 23.56);(22.88, 58.62, 64.29, 62.96, 61.4, 24.0)
1,1,1,40,(30, 45, 30);(5.29, 51.72, 53.57, 53.57, 52.63);(15.66, 62.07, 53.57, 58.06, 57.89, 31.76);(26.43, 58.62, 67.86, 65.38, 63.16, 55.42);(22.5, 72.41, 50.0, 60.0, 61.4, 41.11);(12.09, 62.07, 50.0, 56.25, 56.14, 39.74);(23.16, 48.28, 75.0, 66.67, 61.4, 37.5);(12.09, 62.07, 50.0, 56.25, 56.14, 40.7);(29.8, 65.52, 64.29, 65.52, 64.91, 30.22);(26.25, 65.52, 60.71, 63.33, 63.16, 33.78);(19.12, 65.52, 53.57, 59.38, 59.65, 30.22);(29.8, 65.52, 64.29, 65.52, 64.91, 32.0);(40.22, 75.86, 64.29, 68.75, 70.18, 32.89);(36.67, 75.86, 60.71, 66.67, 68.42, 29.78);(33.27, 68.97, 64.29, 66.67, 66.67, 30.22);(19.22, 62.07, 57.14, 60.0, 59.65, 31.11);(29.72, 68.97, 60.71, 64.52, 64.91, 28.89);(33.35, 65.52, 67.86, 67.86, 66.67, 30.22);(33.27, 68.97, 64.29, 66.67, 66.67, 28.44);(26.34, 62.07, 64.29, 64.29, 63.16, 32.0)
1,1,1,40,(30, 25, 15);(26.25, 65.52, 60.71, 63.33, 63.16);(33.6, 55.17, 78.57, 72.73, 66.67, 33.33);(26.43, 58.62, 67.86, 65.38, 63.16, 33.72);(29.63, 72.41, 57.14, 63.64, 64.91, 37.66);(47.25, 79.31, 67.86, 71.88, 73.68, 33.73);(29.89, 62.07, 67.86, 66.67, 64.91, 40.79);(19.22, 62.07, 57.14, 60.0, 59.65, 43.9);(64.9, 82.76, 82.14, 82.76, 82.46, 33.33);(64.9, 82.76, 82.14, 82.76, 82.46, 29.78);(57.83, 82.76, 75.0, 77.42, 78.95, 29.33);(54.4, 75.86, 78.57, 78.57, 77.19, 28.0);(54.34, 79.31, 75.0, 76.67, 77.19, 25.78);(64.81, 89.66, 75.0, 78.79, 82.46, 30.22);(61.37, 82.76, 78.57, 80.0, 80.7, 28.89);(50.86, 75.86, 75.0, 75.86, 75.44, 31.56);(57.83, 82.76, 75.0, 77.42, 78.95, 31.11);(68.35, 89.66, 78.57, 81.25, 84.21, 26.22);(71.89, 89.66, 82.14, 83.87, 85.96, 31.11);(57.83, 82.76, 75.0, 77.42, 78.95, 30.67)
1,1,1,60,(30, 75, 50);(60.71, 82.14, 78.57, 79.31, 80.36);(17.86, 71.43, 46.43, 57.14, 58.93, 38.96);(-10.71, 35.71, 53.57, 43.48, 44.64, 42.25);(46.43, 85.71, 60.71, 68.57, 73.21, 39.53);(42.86, 85.71, 57.14, 66.67, 71.43, 43.96);(14.29, 67.86, 46.43, 55.88, 57.14, 56.25);(17.86, 46.43, 71.43, 61.9, 58.93, 33.75);(53.57, 85.71, 67.86, 72.73, 76.79, 33.93);(50.0, 85.71, 64.29, 70.59, 75.0, 34.82);(60.71, 85.71, 75.0, 77.42, 80.36, 30.8);(42.86, 78.57, 64.29, 68.75, 71.43, 28.12);(57.14, 82.14, 75.0, 76.67, 78.57, 33.93);(42.86, 78.57, 64.29, 68.75, 71.43, 35.71);(53.57, 78.57, 75.0, 75.86, 76.79, 34.38);(42.86, 78.57, 64.29, 68.75, 71.43, 29.91);(42.86, 78.57, 64.29, 68.75, 71.43, 34.38);(50.0, 82.14, 67.86, 71.88, 75.0, 30.36);(50.0, 78.57, 71.43, 73.33, 75.0, 33.48);(42.86, 78.57, 64.29, 68.75, 71.43, 31.25)
1,1,1,60,(30, 45, 30);(15.87, 55.17, 60.71, 59.26, 57.89);(43.56, 86.21, 57.14, 67.57, 71.93, 32.53);(43.7, 79.31, 64.29, 69.7, 71.93, 32.47);(29.8, 65.52, 64.29, 65.52, 64.91, 38.1);(40.22, 75.86, 64.29, 68.75, 70.18, 30.68);(36.67, 75.86, 60.71, 66.67, 68.42, 40.0);(26.16, 68.97, 57.14, 62.5, 63.16, 41.56);(47.25, 79.31, 67.86, 71.88, 73.68, 29.78);(40.3, 72.41, 67.86, 70.0, 70.18, 31.56);(47.19, 82.76, 64.29, 70.59, 73.68, 31.11);(47.25, 79.31, 67.86, 71.88, 73.68, 27.11);(47.38, 72.41, 75.0, 75.0, 73.68, 28.44);(36.74, 72.41, 64.29, 67.74, 68.42, 27.11);(47.32, 75.86, 71.43, 73.33, 73.68, 29.02);(47.25, 79.31, 67.86, 71.88, 73.68, 27.56);(54.29, 82.76, 71.43, 75.0, 77.19, 28.44);(54.29, 82.76, 71.43, 75.0, 77.19, 29.33);(43.77, 75.86, 67.86, 70.97, 71.93, 28.44);(54.29, 82.76, 71.43, 75.0, 77.19, 30.67)
1,1,1,60,(30, 25, 15);(26.43, 58.62, 67.86, 65.38, 63.16);(12.2, 58.62, 53.57, 56.67, 56.14, 36.25);(8.86, 51.72, 57.14, 55.56, 54.39, 34.15);(43.98, 65.52, 78.57, 76.0, 71.93, 50.62);(36.67, 75.86, 60.71, 66.67, 68.42, 47.19);(33.19, 72.41, 60.71, 65.62, 66.67, 36.05);(33.02, 79.31, 53.57, 63.89, 66.67, 38.46);(43.84, 72.41, 71.43, 72.41, 71.93, 28.44);(50.74, 82.76, 67.86, 72.73, 75.44, 27.11);(50.8, 79.31, 71.43, 74.19, 75.44, 29.33);(47.38, 72.41, 75.0, 75.0, 73.68, 28.0);(50.8, 79.31, 71.43, 74.19, 75.44, 26.67);(50.74, 82.76, 67.86, 72.73, 75.44, 30.22);(50.68, 86.21, 64.29, 71.43, 75.44, 27.56);(33.35, 65.52, 67.86, 67.86, 66.67, 25.78);(54.29, 82.76, 71.43, 75.0, 77.19, 23.56);(57.88, 79.31, 78.57, 79.31, 78.95, 27.56);(43.77, 75.86, 67.86, 70.97, 71.93, 28.89);(47.32, 75.86, 71.43, 73.33, 73.68, 28.89)
1,1,2,20,(30, 75, 50);(61.37, 82.76, 78.57, 80.0, 80.7);(19.32, 58.62, 60.71, 60.71, 59.65, 38.96);(47.38, 72.41, 75.0, 75.0, 73.68, 39.53);(29.63, 72.41, 57.14, 63.64, 64.91, 26.14);(16.28, 41.38, 75.0, 63.16, 57.89, 46.75);(33.27, 68.97, 64.29, 66.67, 66.67, 40.43);(26.34, 62.07, 64.29, 64.29, 63.16, 40.0);(61.37, 82.76, 78.57, 80.0, 80.7, 32.89);(64.81, 89.66, 75.0, 78.79, 82.46, 32.44);(57.83, 82.76, 75.0, 77.42, 78.95, 32.89);(54.4, 75.86, 78.57, 78.57, 77.19, 29.78);(57.88, 79.31, 78.57, 79.31, 78.95, 29.33);(54.4, 75.86, 78.57, 78.57, 77.19, 32.44);(61.37, 82.76, 78.57, 80.0, 80.7, 28.44);(57.78, 86.21, 71.43, 75.76, 78.95, 31.11);(64.86, 86.21, 78.57, 80.65, 82.46, 28.0);(57.83, 82.76, 75.0, 77.42, 78.95, 30.22);(54.29, 82.76, 71.43, 75.0, 77.19, 32.44);(54.29, 82.76, 71.43, 75.0, 77.19, 32.0)
