;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy
7933197233428195239,1,1,40,(30, 25, 15);60.71;53.57;56.67;57.14
1735640862149943821,1,1,40,(30, 25, 15);64.29;71.43;69.23;67.86
3245434972983169324,1,1,40,(30, 25, 15);64.29;67.86;66.67;66.07
1708661255722239460,1,1,40,(30, 25, 15);67.86;64.29;65.52;66.07
1107158645723204584,1,1,40,(30, 25, 15);53.57;57.14;55.56;55.36
avg;62.25;64.29;63.77;63.26
std;4.55;7.72;6.27;5.54
7933197233428195239,1,1,60,(30, 75, 50);35.71;64.29;50.0;50.0
1735640862149943821,1,1,60,(30, 75, 50);67.86;46.43;55.88;57.14
3245434972983169324,1,1,60,(30, 75, 50);78.57;57.14;64.71;67.86
1708661255722239460,1,1,60,(30, 75, 50);75.0;64.29;67.74;69.64
1107158645723204584,1,1,60,(30, 75, 50);57.14;53.57;55.17;55.36
avg;61.73;56.63;57.9;59.18
std;16.97;6.97;8.31;9.36
7933197233428195239,1,1,60,(30, 45, 30);53.57;71.43;65.22;62.5
1735640862149943821,1,1,60,(30, 45, 30);64.29;64.29;64.29;64.29
3245434972983169324,1,1,60,(30, 45, 30);57.14;60.71;59.26;58.93
1708661255722239460,1,1,60,(30, 45, 30);50.0;64.29;58.33;57.14
1107158645723204584,1,1,60,(30, 45, 30);46.43;50.0;48.15;48.21
avg;56.12;64.29;61.19;60.2
std;7.64;7.99;7.64;7.12
7933197233428195239,1,2,20,(30, 75, 50);57.14;67.86;64.0;62.5
1735640862149943821,1,2,20,(30, 75, 50);50.0;75.0;66.67;62.5
3245434972983169324,1,2,20,(30, 75, 50);64.29;60.71;62.07;62.5
1708661255722239460,1,2,20,(30, 75, 50);75.0;75.0;75.0;75.0
1107158645723204584,1,2,20,(30, 75, 50);71.43;60.71;64.52;66.07
avg;61.74;66.33;64.56;64.03
std;12.15;7.1;5.47;5.87
7933197233428195239,1,2,20,(30, 45, 30);67.86;60.71;63.33;64.29
1735640862149943821,1,2,20,(30, 45, 30);53.57;57.14;55.56;55.36
3245434972983169324,1,2,20,(30, 45, 30);53.57;57.14;55.56;55.36
1708661255722239460,1,2,20,(30, 45, 30);64.29;67.86;66.67;66.07
1107158645723204584,1,2,20,(30, 45, 30);67.86;64.29;65.52;66.07
avg;60.72;61.31;60.98;61.01
std;6.78;4.18;4.9;5.1
7933197233428195239,1,2,40,(30, 75, 50);71.43;75.0;74.07;73.21
1735640862149943821,1,2,40,(30, 75, 50);60.71;64.29;62.96;62.5
3245434972983169324,1,2,40,(30, 75, 50);60.71;57.14;58.62;58.93
1708661255722239460,1,2,40,(30, 75, 50);60.71;82.14;77.27;71.43
1107158645723204584,1,2,40,(30, 75, 50);64.29;67.86;66.67;66.07
avg;63.57;69.29;67.92;66.43
std;4.66;9.65;7.71;5.97
7933197233428195239,1,2,40,(30, 45, 30);67.86;64.29;65.52;66.07
1735640862149943821,1,2,40,(30, 45, 30);57.14;75.0;69.57;66.07
3245434972983169324,1,2,40,(30, 45, 30);53.57;50.0;51.72;51.79
1708661255722239460,1,2,40,(30, 45, 30);57.14;78.57;72.73;67.86
1107158645723204584,1,2,40,(30, 45, 30);67.86;50.0;57.58;58.93
avg;60.71;63.57;63.42;62.14
std;6.68;13.46;8.66;6.73

;RF(50,all,all)sensitivity;RF(50,all,all)specificity;RF(50,all,all)precision;RF(50,all,all)accuracy;RF(50,all,sqrt)sensitivity;RF(50,all,sqrt)specificity;RF(50,all,sqrt)precision;RF(50,all,sqrt)accuracy;RF(50,sqrt,all)sensitivity;RF(50,sqrt,all)specificity;RF(50,sqrt,all)precision;RF(50,sqrt,all)accuracy;RF(50,sqrt,sqrt)sensitivity;RF(50,sqrt,sqrt)specificity;RF(50,sqrt,sqrt)precision;RF(50,sqrt,sqrt)accuracy
7933197233428195239,1,1,40,(30, 25, 15);66.43;67.14;67.86;66.79;67.14;62.86;65.52;65.0;67.14;68.57;67.86;67.86;66.43;65.71;65.52;66.07
1735640862149943821,1,1,40,(30, 25, 15);70.0;70.0;71.43;70.0;67.14;64.29;65.52;65.71;67.86;69.29;67.86;68.57;67.86;67.86;67.86;67.86
3245434972983169324,1,1,40,(30, 25, 15);60.0;75.71;70.83;67.86;62.86;77.86;75.0;70.36;60.0;70.0;68.0;65.0;60.71;75.0;70.83;67.86
1708661255722239460,1,1,40,(30, 25, 15);74.29;86.43;84.0;80.36;71.43;84.29;83.33;77.86;72.14;85.71;83.33;78.93;74.29;84.29;84.0;79.29
1107158645723204584,1,1,40,(30, 25, 15);64.29;61.43;62.07;62.86;65.0;65.71;64.29;65.36;65.71;62.14;62.07;63.93;64.29;63.57;64.29;63.93
avg;66.84;71.02;70.13;68.93;66.43;70.61;70.11;68.52;66.73;70.51;69.25;68.62;66.84;71.02;70.33;68.93
std;4.63;8.12;6.91;5.47;3.11;7.83;6.84;4.54;4.14;7.21;6.61;4.96;5.02;7.27;6.52;4.89
7933197233428195239,1,1,60,(30, 75, 50);66.43;64.29;65.52;65.36;65.0;65.0;64.29;65.0;68.57;62.14;63.33;65.36;67.14;62.14;63.33;64.64
1735640862149943821,1,1,60,(30, 75, 50);74.29;62.86;67.74;68.57;75.0;62.14;65.62;68.57;72.14;65.0;66.67;68.57;71.43;65.0;66.67;68.21
3245434972983169324,1,1,60,(30, 75, 50);65.71;77.86;75.0;71.79;63.57;74.29;72.0;68.93;66.43;73.57;73.08;70.0;61.43;72.14;68.0;66.79
1708661255722239460,1,1,60,(30, 75, 50);75.71;82.86;80.77;79.29;75.0;82.14;80.77;78.57;72.86;81.43;80.0;77.14;80.0;83.57;81.48;81.79
1107158645723204584,1,1,60,(30, 75, 50);61.43;55.71;58.62;58.57;60.71;58.57;58.62;59.64;64.29;61.43;62.07;62.86;61.43;57.86;58.62;59.64
avg;69.8;70.21;70.65;70.0;67.86;70.0;69.67;68.93;70.0;67.86;68.89;68.93;69.08;68.78;68.68;68.93
std;5.32;10.02;7.53;6.75;5.53;8.51;7.49;5.83;3.67;7.89;6.33;4.61;6.58;9.36;7.7;7.05
7933197233428195239,1,1,60,(30, 45, 30);64.29;66.43;66.67;65.36;63.57;65.71;64.29;64.64;66.43;64.29;65.52;65.36;64.29;66.43;66.67;65.36
1735640862149943821,1,1,60,(30, 45, 30);70.71;65.0;66.67;67.86;73.57;62.14;65.62;67.86;70.71;67.14;68.97;68.93;71.43;67.14;68.97;69.29
3245434972983169324,1,1,60,(30, 45, 30);63.57;70.71;69.23;67.14;62.86;68.57;66.67;65.71;65.71;67.86;66.67;66.79;68.57;67.14;67.86;67.86
1708661255722239460,1,1,60,(30, 45, 30);70.0;80.71;80.0;75.36;72.86;80.0;76.92;76.43;70.71;80.71;80.0;75.71;72.14;82.86;80.0;77.5
1107158645723204584,1,1,60,(30, 45, 30);61.43;54.29;56.67;57.86;65.0;54.29;58.06;59.64;66.43;60.0;63.33;63.21;62.86;56.43;60.0;59.64
avg;65.61;70.31;69.49;67.96;66.94;69.8;68.96;68.37;68.77;68.98;69.73;68.88;68.27;69.49;69.78;68.88
std;3.9;9.61;8.03;5.98;4.51;10.01;7.46;5.78;2.46;7.73;6.26;4.58;3.49;8.45;6.5;5.62
7933197233428195239,1,2,20,(30, 75, 50);65.0;85.0;81.82;75.0;64.29;77.86;75.0;71.07;66.43;80.71;79.17;73.57;67.14;77.86;76.0;72.5
1735640862149943821,1,2,20,(30, 75, 50);65.71;83.57;78.26;74.64;62.86;82.86;78.26;72.86;62.86;84.29;81.82;73.57;62.86;84.29;81.82;73.57
3245434972983169324,1,2,20,(30, 75, 50);55.71;70.0;66.67;62.86;56.43;72.14;66.67;64.29;51.43;73.57;66.67;62.5;55.0;70.0;65.22;62.5
