;T(entropy,1,0.01,0.6)K;T(entropy,1,0.01,0.6)sensitivity;T(entropy,1,0.01,0.6)specificity;T(entropy,1,0.01,0.6)precision;T(entropy,1,0.01,0.6)accuracy
7933197233428195239,1,1,40,(30, 25, 15);17.86;53.57;64.29;60;58.93
7933197233428195239,1,1,60,(30, 75, 50);14.29;60.71;53.57;56.67;57.14
7933197233428195239,1,1,60,(30, 45, 30);21.43;71.43;50;58.82;60.71
7933197233428195239,1,2,20,(30, 75, 50);35.71;82.14;53.57;63.89;67.86
7933197233428195239,1,2,20,(30, 45, 30);39.29;75;64.29;67.74;69.64
7933197233428195239,1,2,40,(30, 75, 50);42.86;75;67.86;70;71.43
7933197233428195239,1,2,40,(30, 45, 30);42.86;75;67.86;70;71.43
1735640862149943821,1,1,40,(30, 25, 15);21.43;64.29;57.14;60;60.71
1735640862149943821,1,1,60,(30, 75, 50);25;57.14;67.86;64;62.5
1735640862149943821,1,1,60,(30, 45, 30);25;60.71;64.29;62.96;62.5
1735640862149943821,1,2,20,(30, 75, 50);32.14;78.57;53.57;62.86;66.07
1735640862149943821,1,2,20,(30, 45, 30);28.57;60.71;67.86;65.38;64.29
1735640862149943821,1,2,40,(30, 75, 50);32.14;75;57.14;63.64;66.07
1735640862149943821,1,2,40,(30, 45, 30);32.14;67.86;64.29;65.52;66.07
3245434972983169324,1,1,40,(30, 25, 15);25;60.71;64.29;62.96;62.5
3245434972983169324,1,1,60,(30, 75, 50);25;82.14;42.86;58.97;62.5
3245434972983169324,1,1,60,(30, 45, 30);32.14;78.57;53.57;62.86;66.07
3245434972983169324,1,2,20,(30, 75, 50);28.57;64.29;64.29;64.29;64.29
3245434972983169324,1,2,20,(30, 45, 30);14.29;60.71;53.57;56.67;57.14
3245434972983169324,1,2,40,(30, 75, 50);21.43;60.71;60.71;60.71;60.71
3245434972983169324,1,2,40,(30, 45, 30);21.43;64.29;57.14;60;60.71
1708661255722239460,1,1,40,(30, 25, 15);53.57;85.71;67.86;72.73;76.79
1708661255722239460,1,1,60,(30, 75, 50);35.71;60.71;75;70.83;67.86
1708661255722239460,1,1,60,(30, 45, 30);25;60.71;64.29;62.96;62.5
1708661255722239460,1,2,20,(30, 75, 50);53.57;75;78.57;77.78;76.79
1708661255722239460,1,2,20,(30, 45, 30);32.14;60.71;71.43;68;66.07
1708661255722239460,1,2,40,(30, 75, 50);46.43;82.14;64.29;69.7;73.21
1708661255722239460,1,2,40,(30, 45, 30);50;85.71;64.29;70.59;75
1107158645723204584,1,1,40,(30, 25, 15);14.29;53.57;60.71;57.69;57.14
1107158645723204584,1,1,60,(30, 75, 50);10.71;60.71;50;54.84;55.36
1107158645723204584,1,1,60,(30, 45, 30);-3.57;57.14;39.29;48.48;48.21
1107158645723204584,1,2,20,(30, 75, 50);21.43;60.71;60.71;60.71;60.71
1107158645723204584,1,2,20,(30, 45, 30);35.71;67.86;67.86;67.86;67.86
1107158645723204584,1,2,40,(30, 75, 50);28.57;57.14;71.43;66.67;64.29
1107158645723204584,1,2,40,(30, 45, 30);17.86;57.14;60.71;59.26;58.93
